Title,Link
Work-energy theorem- beer-pushing game,https://cosci.tw/run/?name=CXGrH91571014803117
Moon phases and positions,https://cosci.tw/run/?name=UCOGJt1616398787658
simple sea-land breezes model-temperature difference,https://cosci.tw/run/?name=xXhLQw1544152608046
光的折射-薄凹透鏡(新增平行光模式及關閉部分光路功能),https://cosci.tw/run/?name=EECH841724648555727
波的形成,https://cosci.tw/run/?name=oNAauQ1466566467642
friction on the incline plane,https://cosci.tw/run/?name=AOCOcU1444632065934
光電效應,https://cosci.tw/run/?name=n8Vko31735563457497
Magnetic field-Magnet bar2,https://cosci.tw/run/?name=rdxEBn1646366850092
淋到多少雨探究,https://cosci.tw/run/?name=VTallz1557283614222
質心與動量守恆-fun,https://cosci.tw/run/?name=BAG6hK1463466164771
Magnetism- Law of magnetic induction-Basic,https://cosci.tw/run/?name=wGywXw1648561016524
摩擦力-牆面正向力A,https://cosci.tw/run/?name=4X3tTQ1446789125873
Elastic Collision: Cube and Spring B,https://cosci.tw/run/?name=wGTRIc1497421344369
get wetter if you run ? E,https://cosci.tw/run/?name=y70Exe1505185678599
飛機連續投彈,https://cosci.tw/run/?name=QCzp8u1444198869504
Liquid column manometer,https://cosci.tw/run/?name=U0VJgg1539652376198
質心與動量守恆-煙火fun,https://cosci.tw/run/?name=frIhm91495086054892
Refraction-where to place the net,https://cosci.tw/run/?name=tvN7iL1511917540560
get wetter if you run ? E2,https://cosci.tw/run/?name=2TM21t1509325728788
buoyancy-submarine,https://cosci.tw/run/?name=qnTUg21523322790760
Coriolis force – capture Pikachu B,https://cosci.tw/run/?name=mT4kpy1554943857558
Coriolis force - tossing a ball on a turntable,https://cosci.tw/run/?name=gbTc2M1555403742398
重力位能探討-打樁機fun,https://cosci.tw/run/?name=g0VkST1642642278204
The work-energy theorem-slingshotA,https://cosci.tw/run/?name=NAxquT1634888562812
光的折射-薄凸透鏡(增加關閉部分光路功能),https://cosci.tw/run/?name=kDatCv1724648510940
拉力與摩擦力,https://cosci.tw/run/?name=A1c31C1679879344137
等速與等加速度運動-來得急剎車嗎-1,https://cosci.tw/run/?name=AP0UD11659850721772
碰撞合作二0806,https://cosci.tw/run/?name=lLQt0t1438868993106
Friction: How Far Can It Slide,https://cosci.tw/run/?name=X8ZesJ1514868010748
燈光與顏色遊戲,https://cosci.tw/run/?name=S6ZM2I1673939403413
光的疊加,https://cosci.tw/run/?name=531W581673918848609
Buoyancy-pushing a volleyball into water,https://cosci.tw/run/?name=bT8gkt1671415616846
比熱與溫度變化(拖曳),https://cosci.tw/run/?name=48vSSh1537412804839
Projectile Motion VS Free Fall-Crack Shot,https://cosci.tw/run/?name=wkqxT61454382164948
simple model of transmission EXP,https://cosci.tw/run/?name=oQAOps1586330403413
Pressure- Communicating vessel E,https://cosci.tw/run/?name=E8aMpm1574128958863
conservation of momentum,https://cosci.tw/run/?name=Fv0yrk1462772445401
Wave-Moving point source of wave,https://cosci.tw/run/?name=V72vzN1626161391032
pendulum wave,https://cosci.tw/run/?name=ZTSa261473747827063
buoyancy-submarine fun,https://cosci.tw/run/?name=lTJH1p1523590554942
物體加入液體後的溫度變化,https://cosci.tw/run/?name=dlqmod1706454382861
Simplfied model of land and see breeze,https://cosci.tw/run/?name=DKJvSz1543971423768
elastic collsion-bouncing balls,https://cosci.tw/run/?name=boyvFs1453877322613
pendulum-wave,https://cosci.tw/run/?name=uaATOL1489368411662
單擺-兩個單擺,https://cosci.tw/run/?name=k2wyGt1628214589260
導體類型與歐姆定律,https://cosci.tw/run/?name=T3bC811700712211366
Pressure-Pascal’s principle,https://cosci.tw/run/?name=W4ZhTu1550885345644
Voltage and electron flow,https://cosci.tw/run/?name=3GhGer1637829944802
Arrive at the same time,https://cosci.tw/run/?name=ip4FAL1455671259762
耦合擺6,https://cosci.tw/run/?name=O88csw1724337225041
Density and buoyancy,https://cosci.tw/run/?name=ZI0dVX1521518337667
Buoyancy: Two Liquids,https://cosci.tw/run/?name=wf7Wog1498539843396
Transverse waves and longitudinal waves,https://cosci.tw/run/?name=l8rAwK1467001113688
單擺-週期,https://cosci.tw/run/?name=k1QWcn1452734531585
Electrostatic Field: Where Are the Charges?,https://cosci.tw/run/?name=ckGFnq1530507339624
transverse wave-wavelength and period,https://cosci.tw/run/?name=StVMbO1479368482160
Wave-Doppler effect,https://cosci.tw/run/?name=EcF4ld1552613409730
Pressure-Communicating tube,https://cosci.tw/run/?name=LD7vSe1547687548936
Magnetism- Law of magnetic induction,https://cosci.tw/run/?name=UFyc981567043317223
center of mass and conservation of momentum fun,https://cosci.tw/run/?name=rNVkFy1479867683402
Specific heat and temperature change,https://cosci.tw/run/?name=AtmJN21540784814954
Projectile Motion: Two Cannons,https://cosci.tw/run/?name=JSkoki1486970604669
projectile motion-where will it land?,https://cosci.tw/run/?name=ecz9qI1488519743772
摩擦力-牆面正向力B,https://cosci.tw/run/?name=sknce21445927500096
Centripetal Force – Path and Period of Satellites,https://cosci.tw/run/?name=axcSN41469081156263
光的反射-小紅帽任務,https://cosci.tw/run/?name=LFoP5h1681971316926
Velocity and motion of uniform acceleration,https://cosci.tw/run/?name=LN5I3e1558670600609
燈光與顏色遊戲(測驗版),https://cosci.tw/run/?name=QXAglz1688283510384
color addition and subtrction,https://cosci.tw/run/?name=ICRECe1675143763167
